Catalysts,Li,Na,Mg,K,Ca,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Sr,Y,Zr,Mo,Pd,Cs,Ba,La,Ce,Nd,Eu,Tb,Hf,W,C2y
Co-Co-Co,0,0,0,0,0,0,0,0,0,1.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y-Zr-Pd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0.371,0,0.371,0,0,0,0,0,0,0,0,0,14.10112733
Mn-Mn-Mn,0,0,0,0,0,0,0,1.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.12321098
Nd-Nd-Nd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,0,0,0,0,17.26982616
K-Cs-Cs,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,18.05485326
Fe-Ni-Mo,0,0,0,0,0,0,0,0,0.371,0,0.371,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,19.67708894
Fe-Pd-W,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0.371,11.53972613
Cu-Mo-Pd,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0,6.38555026
Ni-Ni-Ni,0,0,0,0,0,0,0,0,0,0,1.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22499531
K-Mo-La,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0.371,0,0,0,0,0,0,18.78209546
Sr-Zr-La,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0.371,0,0,0,0,0.371,0,0,0,0,0,0,20.05043889
W-W-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,21.05886802
Mn-Fe-Pd,0,0,0,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,13.73656597
Mn-Fe-Mo,0,0,0,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,17.03281277
Mn-Mn-Zn,0,0,0,0,0,0,0,0.742,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8314974
Mn-Co-Hf,0,0,0,0,0,0,0,0.371,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,13.38805335
Co-Pd-Cs,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,6.866408812
Ni-Mo-Mo,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0,0,18.30670607
Mg-Zn-Zn,0,0,0.371,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.61580347
Mn-Ni-Pd,0,0,0,0,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,9.745782828
Ni-Zn-Sr,0,0,0,0,0,0,0,0,0,0,0.371,0,0.371,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01485226
Mn-Fe-Cs,0,0,0,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,17.54678752
Mn-Mn-Fe,0,0,0,0,0,0,0,0.742,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.62283684
Mg-Mg,0,0,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.96301233
Zn-Zn-Ce,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,17.98827605
K-Fe-Pd,0,0,0,0.371,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,7.284853861
Mn-Co-Cu,0,0,0,0,0,0,0,0.371,0,0.371,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.829536392
Sr-Sr-Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0.371,0,0,0,0,0,0,0,0,18.18426736
Ca-Co-Ni,0,0,0,0,0.371,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55873772
Mn-Y-Pd,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0.371,0,0,0.371,0,0,0,0,0,0,0,0,0,5.061395666
Li-Ni-Pd,0.371,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,5.537188586
Pd-Cs-Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0.742,0,0,0,0,0,0,0,0,0
Cu-Pd-Cs,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,5.479476613
Ni-Cs-Cs,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,7.647809066
Cu-Zn-Zn,0,0,0,0,0,0,0,0,0,0,0,0.371,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.289217948
Mn-Cs-Cs,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,10.63198254
Co-Cs-Cs,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,13.08002969
Mg-Mg-Mn,0,0,0.742,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.21963918
Pd-W-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0.742,0
Ba-Ce-Ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0.742,0,0,0,0,0,14.53455702
Cu-W-W,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,7.429549432
Na-K,0,0.371,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.40410557
Na-Cs-Cs,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,16.50465018
Mn-Mn-W,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,16.41013334
K-Zn-Cs,0,0,0,0.371,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,18.52943662
Hf-Hf-Hf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,0,17.29881828
Zn-Mo-Pd,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0,11.71760394
Eu-Eu-Eu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,0,0,0,19.42689277
Zr-Cs-Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0.742,0,0,0,0,0,0,0,0,17.18409421
Mo-Mo-Mo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,0,0,0,0,0,0,0,0,0,0,18.93818615
Mg-Pd-Ce,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0.371,0,0,0,0,0,0
Na-Na-Na,0,1.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14033631
Sr-Ba-Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0.742,0,0,0,0,0,0,0,15.2367767
Co-Mo-Pd,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0,9.48161888
Na-Mg-Zn,0,0.371,0.371,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99463429
Na-Ca-Ti,0,0.371,0,0,0.371,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.81268082
Nd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,18.30421976
Na-Mg-Ni,0,0.371,0.371,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.039855354
K-Cu-Mo,0,0,0,0.371,0,0,0,0,0,0,0,0.371,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,7.105662607
Na-Mg-Mg,0,0.371,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75270329
Zn-Nd-W,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0.371,17.17188897
Mn-Mn-Cu,0,0,0,0,0,0,0,0.742,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.971150602
Ca,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.83629879
Mg-Ca-Cu,0,0,0.371,0,0.371,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.656369027
Mg-Mg-Nd,0,0,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,17.03717304
Mg-Nd,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,17.45918553
Mg-Nd-Nd,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,17.37103838
Mn-Mn,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.260028
Mn,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.37871968
Ca-W,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,17.70431647
Pd-W-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0.742,0
