Catalyst,Mg,Zn,Cu,Ag,Ni,Al,La,Y,Hf,Zr,Cr,Ga,Nb,Mo,C4H6 yield (%)
122,0.0105,0.1575,0.0735,0.042,0.084,0.021,0.0735,0.105,0,0.147,0.0315,0.021,0.0525,0.231,29
123,0.0945,0.1575,0.0525,0.042,0,0.021,0.1365,0.0315,0,0.147,0.0315,0.1575,0.105,0.0735,33
124,0.1323,0.2205,0.0735,0,0,0.0294,0.1911,0.1029,0,0.2058,0.0441,0.2205,0.147,0.1029,34
125,0,0,0.21,0.0735,0,0.0315,0.0735,0.042,0.252,0.0735,0.0315,0,0.1155,0.147,18
126,0.1323,0.2205,0.0735,0,0,0,0.0294,0.1029,0,0.2058,0.0441,0.2205,0.147,0.294,23
127,0.0945,0.1575,0.084,0,0.084,0.021,0.0735,0.105,0.189,0.147,0.0105,0.021,0.0525,0.0105,53
128,0,0.1575,0.0735,0.042,0.084,0.021,0.0735,0.105,0.147,0.252,0.0105,0.021,0.0525,0.0105,49
129,0,0.1575,0.0735,0.042,0.0105,0.021,0.0735,0.105,0.252,0.147,0.0105,0.021,0.0525,0.084,44
130,0.27,0.189,0.081,0.162,0.135,0.189,0.216,0.27,0.216,0.135,0.297,0.297,0.027,0.27,29
131,0.0126,0.0036,0.0126,0.009,0.0144,0.0216,0.0198,0.0252,0.018,0.009,0.0108,0.0162,0,0.0108,10
132,0,0.1575,0.0735,0.042,0.084,0.021,0.0735,0.105,0.252,0.147,0.0105,0.021,0.0525,0.0105,49
133,0,0.1575,0,0.042,0,0,0,0,0.147,0.252,0.0105,0.3255,0.105,0.0105,38
134,0.0147,0.2205,0.0735,0.0441,0.1176,0.0294,0.294,0.1323,0.0882,0.1323,0.0147,0.0294,0.147,0.1323,42
135,0.0945,0.1575,0.0735,0.042,0.084,0.0315,0.0735,0.105,0.147,0.147,0.0105,0.021,0.0525,0.0105,48
136,0.078,0.234,0.078,0,0.1248,0.0312,0.1092,0.078,0.1092,0.0468,0.1872,0.0312,0.4368,0.0156,32
137,0.0525,0.1575,0.0735,0.042,0.084,0.0105,0,0.105,0.252,0.147,0.0105,0,0.1155,0,47
138,0.0525,0.0735,0.0525,0,0.0105,0.0945,0.084,0.105,0.0735,0.252,0.126,0.021,0.0945,0.0105,25
139,0.078,0.1092,0.312,0.1092,0.1248,0,0.1092,0.0624,0.1092,0.0468,0.1872,0.0624,0.1716,0.0936,28
140,0,0.0555,0.0777,0.0444,0.0888,0.0222,0.0777,0.0999,0.2664,0.0999,0.0111,0.111,0.0555,0.0999,27
141,0.1107,0.1845,0.246,0.0369,0,0.0123,0.123,0.123,0,0.2214,0,0.0246,0.1353,0.0123,47
142,0.1323,0.2205,0.1029,0,0,0.0294,0.1911,0.0294,0.3528,0.2058,0.0441,0,0.147,0.0147,51
143,0,0.1575,0.0735,0,0.084,0,0.0735,0.105,0,0.147,0,0.126,0.0525,0.231,30
144,0.021,0.1575,0.084,0,0.084,0.021,0.0735,0.105,0.189,0.147,0.0105,0.0945,0.0525,0.0105,43
145,0.0945,0.1575,0.084,0,0.084,0.105,0.0735,0.021,0.189,0.147,0.0105,0.021,0.0525,0.0105,33
146,0.1275,0.204,0.2295,0.1785,0.1275,0.1275,0.306,0.0765,0.1275,0.2805,0.2295,0.306,0.102,0.1275,23
147,0.1701,0.0486,0.3159,0.1215,0.0972,0.1458,0.0486,0.1944,0.2916,0.243,0.3159,0.0486,0.3159,0.0486,17
148,0,0.105,0.0735,0.063,0.084,0.0735,0.084,0.105,0.084,0.0525,0.1155,0.1155,0.0105,0.105,25
149,0.0945,0.1575,0.084,0,0,0.021,0.0735,0.105,0.252,0.147,0,0,0.105,0.0105,54
150,0.0945,0.1575,0.0735,0.042,0.063,0.0105,0.0735,0.105,0.147,0.189,0.0105,0.021,0.0525,0.0105,52
151,0.0945,0.1575,0.21,0.042,0.084,0.0105,0,0.105,0.021,0.189,0.0105,0,0.1155,0.0105,44
152,0.0945,0.1575,0.084,0,0.084,0.021,0.0735,0.105,0.189,0.147,0.0105,0.021,0.0525,0.0105,48
153,0,0.1575,0.0735,0.042,0.084,0.021,0.0735,0.105,0.252,0.147,0.0105,0.021,0.0525,0.0105,57
154,0.1323,0.2205,0.294,0.0588,0,0.0147,0.1911,0.0294,0.3528,0.0882,0.0441,0.0294,0,0.0147,41
155,0.0945,0.1575,0.084,0.042,0.084,0.021,0.0735,0.2625,0,0.147,0.0105,0.021,0.0525,0,38
156,0,0.1575,0.084,0.042,0.084,0.021,0.126,0.105,0.189,0.147,0.0105,0.021,0.0525,0.0105,41
157,0.0945,0.0525,0.105,0,0.084,0.021,0.0735,0.105,0.189,0.147,0.0105,0.105,0.0525,0.0105,31
158,0.0126,0.0126,0.0054,0.0108,0.009,0.0126,0.0144,0.018,0.0144,0.009,0.027,0.0198,0.0018,0.018,14
159,0.021,0.1575,0.0735,0,0.168,0.021,0.0735,0.105,0.189,0.147,0.0105,0.021,0.0525,0.0105,45
160,0.0945,0.1575,0.084,0,0.105,0.021,0.0735,0.084,0.189,0.147,0.0105,0.021,0.0525,0.0105,44
161,0.0945,0.1575,0.084,0.0105,0.084,0.021,0.0735,0.105,0.189,0.147,0,0.021,0.0525,0.0105,42
162,0.0498,0.0747,0.3486,0.2988,0.0747,0.1494,0.0996,0.2241,0.1494,0.1743,0.0747,0.1743,0.3486,0.249,21
163,0.168,0.036,0.096,0.036,0.192,0.012,0.084,0.132,0,0.156,0.132,0.06,0.072,0.024,24
164,0,0.1575,0.0735,0.042,0.084,0.021,0.0735,0.105,0.252,0.147,0.0105,0.021,0.0525,0.0105,50
165,0,0.1575,0.084,0.042,0.084,0.021,0.126,0.105,0.252,0.084,0.0105,0.021,0.0525,0.0105,51
166,0,0.1575,0.0735,0.042,0.084,0.021,0.0735,0.105,0.252,0.147,0.0105,0.021,0.0525,0.0105,52
167,0.1323,0.147,0.1029,0,0.1176,0,0.1911,0.0294,0.3528,0.2058,0.0441,0.1176,0.0147,0.0147,51
168,0.078,0.1092,0.078,0.1092,0.1248,0.1404,0.1248,0.078,0.1092,0.0468,0.1872,0.0468,0.1404,0.1872,24
169,0.1323,0.2205,0.1029,0,0.0588,0.0294,0.1029,0.0294,0.3528,0.2058,0.0441,0.0294,0.147,0.0147,44
170,0.0945,0.1575,0.0735,0,0,0.021,0.0735,0.147,0.252,0.147,0,0.021,0.0525,0.0105,36
171,0.0945,0.1575,0.084,0.042,0.084,0.021,0,0.105,0.252,0.147,0.0105,0.021,0.021,0.0105,48
172,0.0945,0.126,0.0735,0.042,0.084,0.021,0,0.2625,0.252,0,0.0105,0.021,0.0525,0.0105,49
173,0,0.1575,0.084,0.063,0.084,0.021,0.0735,0.105,0.0735,0.0525,0.1995,0.1155,0.0105,0.0105,38
174,0,0.1575,0.084,0.042,0.084,0.021,0.126,0.105,0.189,0.147,0.0105,0.021,0.0525,0.0105,48
175,0.0945,0.1575,0.084,0,0.084,0.021,0.0735,0.105,0.189,0.147,0.0105,0.021,0.0525,0.0105,53
176,0,0.1575,0.0735,0.042,0.084,0.021,0.0735,0.105,0.252,0.147,0.0105,0.021,0.0525,0.0105,50
177,0,0.1575,0.0735,0.105,0.084,0.021,0.0735,0.042,0.252,0.147,0.0105,0.021,0.0525,0.0105,50
